Date,State,Cases,Recovered,Deaths,Cummulative Hospitalized,Currently Hospitalized
6/13/20,AK,654,405,12, ,12
6/13/20,AL,24601,13508,773,2241,622
6/13/20,AR,11547,7607,176,979,203
6/13/20,AZ,34458,6209,1183,3692,1412
6/13/20,CA,145643, ,4989, ,4411
6/13/20,CO,28822,4184,1595,5234,274
6/13/20,CT,44994,7611,4186,9912,233
6/13/20,DC,9709,1143,511, ,197
6/13/20,DE,10229,6116,419, ,93
6/13/20,FL,73552, ,3016,12155, 
6/13/20,GA,56801, ,2446,9224,810
6/13/20,GU,185,168,5, , 
6/13/20,IA,23717,14326,650, ,200
6/13/20,ID,3353,2776,87,265, 
6/13/20,IL,132732, ,6470, ,2117
6/13/20,IN,39543,28241,2413,6349,871
6/13/20,KS,11047,667,243,973, 
6/13/20,KY,12445,3409,499,2433,410
6/13/20,LA,46283,33904,3004, ,542
6/13/20,MA,105395, ,7576,10772,1069
6/13/20,MD,61305,4536,2926,10053,799
6/13/20,ME,2757,2152,100,313,29
6/13/20,MI,65836,44964,6013, ,636
6/13/20,MN,30172,25620,1314,3581,390
6/13/20,MO,15810, ,879, ,595
6/13/20,MS,19348,13356,889,2644,684
6/13/20,NC,42676,23653,1104, ,823
6/13/20,NH,5251,3843,315,503,76
6/13/20,NJ,166605,28606,12589,18707,1395
6/13/20,NV,10946,627,463, ,351
6/13/20,NY,382630,68584,24527,89995,1734
6/13/20,OH,40848, ,2554,6864,516
6/13/20,OK,8073,6495,359,1111,154
6/13/20,OR,5377,2396,173,875,133
6/13/20,PA,78462,58061,6211, ,875
6/13/20,RI,15947,1435,833,1853,141
6/13/20,SC,17955,8682,599,1988,523
6/13/20,SD,5833,4828,75,531,85
6/13/20,TN,29541,19731,472,2073, 
6/13/20,TX,86011,56535,1957, ,2242
6/13/20,UT,13981,8114,139,1012,236
6/13/20,VA,53869,7131,1541,8090,959
6/13/20,VT,1125,908,55, ,11
6/13/20,WA,25171, ,1204,3817,225
6/13/20,WI,22518,16231,691,3035,285
6/13/20,WV,2259,1568,88, ,29
7/25/20,AL,91444,35401.0,1627,10521.0,
7/25/20,AK,3984,932.0,24,134.0,
7/25/20,AZ,178467,,3765,11371.0,
7/25/20,AR,43173,36034.0,458,2894.0,
7/25/20,CA,509162,,9356,,
7/25/20,CO,47267,,1844,6465.0,
7/25/20,CO,49810,,4432,,
7/25/20,DE,14949,8235.0,585,,
7/25/20,DC,12274,9870.0,586,,
7/25/20,FL,487132,,7206,27150.0,
7/25/20,GA,193177,,3840,19064.0,
7/25/20,HI,2242,1294.0,26,199.0,
7/25/20,ID,21344,7370.0,197,874.0,
7/25/20,IL,183224,,7714,,
7/25/20,IN,67857,47355.0,2975,8848.0,
7/25/20,IA,45492,32952.0,876,,
7/25/20,KS,27812,,358,1751.0,
7/25/20,KY,31185,8135.0,742,3782.0,
7/25/20,LA,119747,74246.0,4007,,
7/25/20,ME,3958,3387.0,123,388.0,
7/25/20,MD,90274,,3515,12746.0,
7/25/20,MA,118458,97595.0,8638,11935.0,
7/25/20,MI,91761,60022.0,6457,,
7/25/20,MN,55947,48847.0,1654,5242.0,
7/25/20,MS,60553,35071.0,1693,4304.0,
7/25/20,MO,51840,,1253,,
7/25/20,MT,4193,2466.0,61,233.0,
7/25/20,NE,26391,19325.0,332,1629.0,
7/25/20,NV,50205,,832,,
7/25/20,NH,6634,5820.0,417,696.0,
7/25/20,NJ,182350,32475.0,15836,,
7/25/20,NM,21016,8343.0,654,2720.0,
7/25/20,NY,416298,73222.0,32710,,
7/25/20,NC,125219,92302.0,1969,,
7/25/20,ND,6660,5477.0,105,377.0,
7/25/20,OH,93031,,3529,10900.0,
7/25/20,OK,38225,30820.0,550,3241.0,
7/25/20,OR,19097,3872.0,326,1607.0,
7/25/20,PA,113590,,7209,,
7/25/20,RI,19246,,1010,2174.0,
7/25/20,SC,91788,,1777,,
