Date,State,Cases,Recovered,Deaths,Cummulative Hospitalized,Currently Hospitalized
6/13/20,AK,654,405,12, ,12
6/13/20,AL,24601,13508,773,2241,622
6/13/20,AR,11547,7607,176,979,203
6/13/20,AZ,34458,6209,1183,3692,1412
6/13/20,CA,145643, ,4989, ,4411
6/13/20,CO,28822,4184,1595,5234,274
6/13/20,CT,44994,7611,4186,9912,233
6/13/20,DC,9709,1143,511, ,197
6/13/20,DE,10229,6116,419, ,93
6/13/20,FL,73552, ,3016,12155, 
6/13/20,GA,56801, ,2446,9224,810
6/13/20,IA,23717,14326,650, ,200
6/13/20,ID,3353,2776,87,265, 
6/13/20,IL,132732, ,6470, ,2117
6/13/20,IN,39543,28241,2413,6349,871
6/13/20,KS,11047,667,243,973, 
6/13/20,KY,12445,3409,499,2433,410
6/13/20,LA,46283,33904,3004, ,542
6/13/20,MA,105395, ,7576,10772,1069
6/13/20,MD,61305,4536,2926,10053,799
6/13/20,ME,2757,2152,100,313,29
6/13/20,MI,65836,44964,6013, ,636
6/13/20,MN,30172,25620,1314,3581,390
6/13/20,MO,15810, ,879, ,595
6/13/20,MS,19348,13356,889,2644,684
6/13/20,NC,42676,23653,1104, ,823
6/13/20,NH,5251,3843,315,503,76
6/13/20,NJ,166605,28606,12589,18707,1395
6/13/20,NV,10946,627,463, ,351
6/13/20,NY,382630,68584,24527,89995,1734
6/13/20,OH,40848, ,2554,6864,516
6/13/20,OK,8073,6495,359,1111,154
6/13/20,OR,5377,2396,173,875,133
6/13/20,PA,78462,58061,6211, ,875
6/13/20,RI,15947,1435,833,1853,141
6/13/20,SC,17955,8682,599,1988,523
6/13/20,SD,5833,4828,75,531,85
6/13/20,TN,29541,19731,472,2073, 
6/13/20,TX,86011,56535,1957, ,2242
6/13/20,UT,13981,8114,139,1012,236
6/13/20,VA,53869,7131,1541,8090,959
6/13/20,VT,1125,908,55, ,11
6/13/20,WA,25171, ,1204,3817,225
6/13/20,WI,22518,16231,691,3035,285
6/13/20,WV,2259,1568,88, ,29
