Date,State,Cases,Recovered,Deaths,Cummulative Hospitalized
7/25/20,AL,91444,35401,1627,10521
7/25/20,AK,3984,932,24,134
7/25/20,AZ,178467,,3765,11371
7/25/20,AR,43173,36034,458,2894
7/25/20,CA,509162,,9356,
7/25/20,CO,47267,,1844,6465
7/25/20,CO,49810,,4432,
7/25/20,DE,14949,8235,585,
7/25/20,DC,12274,9870,586,
7/25/20,FL,487132,,7206,27150
7/25/20,GA,193177,,3840,19064
7/25/20,HI,2242,1294,26,199
7/25/20,ID,21344,7370,197,874
7/25/20,IL,183224,,7714,
7/25/20,IN,67857,47355,2975,8848
7/25/20,IA,45492,32952,876,
7/25/20,KS,27812,,358,1751
7/25/20,KY,31185,8135,742,3782
7/25/20,LA,119747,74246,4007,
7/25/20,ME,3958,3387,123,388
7/25/20,MD,90274,,3515,12746
7/25/20,MA,118458,97595,8638,11935
7/25/20,MI,91761,60022,6457,
7/25/20,MN,55947,48847,1654,5242
7/25/20,MS,60553,35071,1693,4304
7/25/20,MO,51840,,1253,
7/25/20,MT,4193,2466,61,233
7/25/20,NE,26391,19325,332,1629
7/25/20,NV,50205,,832,
7/25/20,NH,6634,5820,417,696
7/25/20,NJ,182350,32475,15836,
7/25/20,NM,21016,8343,654,2720
7/25/20,NY,416298,73222,32710,
7/25/20,NC,125219,92302,1969,
7/25/20,ND,6660,5477,105,377
7/25/20,OH,93031,,3529,10900
7/25/20,OK,38225,30820,550,3241
7/25/20,OR,19097,3872,326,1607
7/25/20,PA,113590,,7209,
7/25/20,RI,19246,,1010,2174
7/25/20,SC,91788,,1777,
7/25/20,SD,8955,7909,135,835
7/25/20,TN,109627,68471,1073,4756
7/25/20,TX,430485,282604,6837,
7/25/20,UT,41175,29389,311,2430
7/25/20,VT,1426,1238,57,
7/25/20,VA,91782,,2218,13280
7/25/20,WA,58173,,1596,5692
7/25/20,WV,6854,4897,117,
7/25/20,WI,58990,43964,955,4717
7/25/20,WY,2808,2173,26,168
